a_id,b_id,label,a_language,b_language,trgm_subject,trgm_title,shared_actors,shared_speakers,shared_locations,shared_primary_loc,idf_loc_score,canonical_url_match,event_date_match,length_ratio,time_diff_hours,same_source,shared_numbers
00152669-24e5-4223-a2bd-b404212892dc,42eeb74a-45c0-422e-b997-6a0f6d2cec83,same_event,kn,en,0.1875,0.017094018,0,0,0,0,0.0,0,0,13.8,53.9,0,0
009f6145-0b8f-4bf6-8f0a-a9daf1b89ecf,05df5388-62c8-46f4-ba76-2e04b4e49e4b,not_same_event,en,en,0.41666666,0.92156863,3,0,0,0,0.0,0,0,1.3,23.5,1,0
009f6145-0b8f-4bf6-8f0a-a9daf1b89ecf,2879b5a8-4746-4d85-8016-0dab7c1811fb,not_same_event,en,en,0.4431818,0.90384614,3,0,0,0,0.0,0,0,1.1,95.2,1,1
00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,2825b395-4141-4731-9e94-98bce66c3ae8,same_event,te,en,0.12413793,0.05376344,0,0,0,0,0.0,0,1,1.6,6.3,0,1
00efb945-7233-4bb4-a6de-d86eb213dbbe,0c6fa1a0-0561-4925-a1be-75bb7c99b68e,same_event,en,en,0.61290324,0.5138889,1,0,1,1,0.0,0,1,4.4,6.3,0,0
00efb945-7233-4bb4-a6de-d86eb213dbbe,15fd3f99-55f8-4c9e-82eb-cc834ac9e0f3,same_event,en,,0.2747253,0.027272727,0,0,0,0,0.0,0,1,1.7,1.5,0,1
00efb945-7233-4bb4-a6de-d86eb213dbbe,9787895b-c23c-46fe-829e-97dc7393efc1,same_event,en,,0.7226891,0.40449437,0,0,0,1,0.0,0,1,1.1,0.9,0,2
00efb945-7233-4bb4-a6de-d86eb213dbbe,9d53855d-b462-4306-aa3f-db30c5fd4995,same_event,en,,0.5625,0.42696628,0,0,0,1,0.0,0,1,2.0,1.9,0,1
00efb945-7233-4bb4-a6de-d86eb213dbbe,a34a6f6c-f04e-4914-9fbc-b0fe15e59355,same_event,en,en,0.42753622,0.3398058,1,0,1,1,0.0,0,1,1.0,0.1,0,1
00efb945-7233-4bb4-a6de-d86eb213dbbe,e5c815e5-1699-451d-bb8a-15f6efbccba8,same_event,en,,0.4217687,0.030927835,0,0,0,0,0.0,0,1,2.1,0.8,0,1
00efb945-7233-4bb4-a6de-d86eb213dbbe,e6f6c493-8c68-42e6-a2f1-61f49c954300,same_event,en,en,0.40650406,0.5441176,1,0,0,0,0.0,0,1,1.7,8.2,0,2
00efb945-7233-4bb4-a6de-d86eb213dbbe,f56f7ade-93fd-45e8-a2b6-f7baa57a1a8e,same_event,en,en,0.50898206,0.5138889,1,0,1,1,0.0,0,1,3.1,8.5,0,0
00efb945-7233-4bb4-a6de-d86eb213dbbe,fc6ee811-7d65-442b-b9cb-445835a25167,same_event,en,en,0.30769232,0.23958333,1,0,0,1,0.0,0,1,1.3,0.1,0,2
010ff5d6-d347-4460-aa57-7927a132262e,5842020d-40dc-437d-bd78-863f55a3ffc0,same_event,en,en,0.37931034,0.18292683,0,0,0,0,0.0,0,0,1.4,56.7,0,0
013d5de2-115f-4623-8c3a-ef32695a5859,a928eac9-a482-40f5-9d5f-0eca5e22b4ec,same_event,en,en,0.3309859,0.2970297,0,0,0,0,0.0,0,1,1.9,21.4,0,2
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,2d5a892a-6d97-4473-b767-45a598f1320c,same_event,en,en,1.0,1.0,2,0,1,1,0.0,1,1,1.0,0.0,0,1
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,5842020d-40dc-437d-bd78-863f55a3ffc0,not_same_event,en,en,0.093406595,0.06593407,0,0,0,0,0.0,0,0,6.5,56.3,0,0
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,6011b558-17d8-4deb-8d33-51ec626629e5,not_same_event,en,en,0.12,0.026548672,0,0,0,0,0.0,0,0,1.7,52.8,0,0
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,675402a1-6234-445a-a8e0-805ffb6d0554,not_same_event,en,en,0.116504855,0.07874016,0,0,0,0,0.0,0,0,1.4,53.8,0,0
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,8d238d4e-6363-450b-8ce1-68245cc148eb,not_same_event,en,te,0.13839285,0.008928572,0,0,1,0,0.0,0,0,3.5,58.6,0,0
01fb864c-fa78-4e7a-aba0-b6bd4978b3ea,9264f4a3-0b47-406f-98b8-2cde75c3ce22,not_same_event,en,en,0.18055555,0.056603774,0,0,1,0,0.0,0,0,2.5,31.9,0,0
0257efa6-84c9-4b17-869f-c6a8f3a0be9c,09f03e4f-a045-4236-b1cc-c7bfd5b1dbff,not_same_event,hi,hi,0.8101266,0.17117117,0,0,0,0,0.0,0,0,1.1,47.6,1,1
0257efa6-84c9-4b17-869f-c6a8f3a0be9c,d10760e7-2d39-44fe-94f3-0bbabe54b81e,not_same_event,hi,hi,0.8888889,0.15454546,0,0,0,0,0.0,0,0,1.0,70.7,1,1
02a99453-d39b-43b8-9ad9-82b957a42e5a,1d580966-7697-40b1-85da-72a297888063,same_event,en,en,0.0,0.4105263,0,0,0,0,0.0,0,1,1.0,4.5,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,3e4a64e6-92d8-4645-8856-fd7baee91f61,same_event,en,en,0.0,0.28846154,0,0,0,0,0.0,0,1,1.0,5.8,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,45015641-6a9c-4192-a543-e0a029c12c68,same_event,en,en,0.0,0.2970297,0,0,0,0,0.0,0,1,1.0,2.6,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,4eebec1b-3527-42a4-b645-fb4c4861c1d6,same_event,en,en,0.0,0.13461539,0,0,0,0,0.0,0,1,1.0,0.3,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,60be2596-6716-4aff-a4bb-c68ffc93a4cd,same_event,en,en,0.0,0.16346154,0,0,0,0,0.0,0,1,1.0,0.4,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,7c677146-472d-4402-a130-0576938ff2e8,same_event,en,en,0.0,0.30927834,0,0,0,0,0.0,0,1,1.0,5.8,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,bced4c46-2d3c-49ac-adc3-05b874a89229,same_event,en,en,0.0,0.18,0,0,0,0,0.0,0,0,1.0,24.0,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,df3ea97b-ff57-4539-9c39-a80cf66dca4a,same_event,en,en,0.0,0.08035714,0,0,0,0,0.0,0,1,1.0,5.8,0,0
02a99453-d39b-43b8-9ad9-82b957a42e5a,ff646d45-970b-4933-84d4-aee22a9e6748,same_event,en,en,0.0,0.44155845,0,0,0,0,0.0,0,1,1.0,3.3,0,0
02ca68ce-11bc-4742-aad0-bd67e94be008,0ea91b7a-00ce-4d94-871d-e7e6ece5758a,same_event,,,0.40425533,0.0,0,0,0,0,0.0,0,0,2.6,5.0,0,12
02ca68ce-11bc-4742-aad0-bd67e94be008,13c1fd37-9071-43e5-9f7a-143f6b6f7766,same_event,,,0.6886792,0.10769231,0,0,0,0,0.0,0,0,1.2,4.3,0,7
02ca68ce-11bc-4742-aad0-bd67e94be008,62d7847e-1ea0-472f-9275-ed038def189d,same_event,,,0.33552632,0.0,0,0,0,0,0.0,0,0,1.5,4.8,0,17
02ca68ce-11bc-4742-aad0-bd67e94be008,66c7051e-ae9a-407e-8519-af7dd3e84187,same_event,,,0.45962733,0.11904762,0,0,0,0,0.0,0,1,1.7,0.3,0,12
02ca68ce-11bc-4742-aad0-bd67e94be008,6ea3d48c-1ee2-4799-8b90-6a318a214411,same_event,,,0.82758623,0.0,0,0,0,1,0.0,0,0,3.3,4.6,0,12
